Original_spi,Predicted_spi
0.35,0.35
0.35,0.35
0.33,0.35
0.33,0.34
0.32,0.34
0.32,0.32
0.33,0.32
0.35,0.34
0.35,0.35
0.35,0.35
0.33,0.35
0.33,0.34
0.32,0.33
0.3,0.32
0.3,0.3
0.28,0.29
0.3,0.27
0.3,0.29
0.32,0.3
0.33,0.32
0.35,0.33
0.35,0.35
0.37,0.35
0.37,0.37
0.37,0.38
0.37,0.37
0.37,0.36
0.38,0.36
0.4,0.37
0.43,0.4
0.47,0.44
0.5,0.47
0.53,0.49
0.55,0.51
0.57,0.54
0.58,0.56
0.6,0.58
0.6,0.6
0.62,0.6
0.63,0.61
0.65,0.63
0.68,0.65
0.73,0.7
0.75,0.76
0.78,0.77
0.82,0.78
0.85,0.81
0.87,0.85
0.87,0.87
0.87,0.88
0.87,0.88
0.87,0.88
0.88,0.88
0.9,0.9
0.92,0.92
0.92,0.94
0.93,0.94
0.93,0.95
0.93,0.95
0.93,0.95
0.9,0.95
0.87,0.92
0.85,0.9
0.83,0.88
0.82,0.86
0.82,0.83
0.83,0.84
0.83,0.86
0.85,0.85
0.88,0.86
0.9,0.87
0.9,0.92
0.9,0.93
0.9,0.93
0.88,0.91
0.88,0.89
0.88,0.89
0.9,0.9
0.93,0.93
0.95,0.96
0.98,0.95
1,0.99
1,1.03
1,1.04
0.98,1.04
0.95,1
0.93,0.96
0.93,0.95
0.93,0.96
0.95,0.97
0.97,0.98
0.98,0.98
0.98,1
0.98,1
0.98,1
0.97,1.01
0.93,0.99
0.9,0.95
0.87,0.91
0.83,0.88
0.82,0.83
0.8,0.82
0.8,0.81
0.78,0.81
0.78,0.8
0.77,0.79
0.73,0.78
0.7,0.74
0.67,0.71
0.62,0.68
0.57,0.63
0.53,0.58
0.5,0.54
0.48,0.51
0.47,0.48
0.45,0.47
0.43,0.45
0.42,0.44
0.38,0.42
0.37,0.38
0.35,0.36
0.32,0.34
0.28,0.32
0.27,0.29
